country,field,year,estimated_investment,complete
Ireland,Consumer goods,2018,42,True
Turkey,Consumer goods,2017,0,True
India,Consumer goods,2025,52,False
Australia,Cyber Security,2020,10,True
Estonia,Cyber Security,2017,0,True
Singapore,Cyber Security,2019,4,True
Switzerland,Cyber Security,2023,1,True
Philippines,Data and analytics,2021,1,True
Finland,Data and analytics,2019,1240,True
Russia,Data and analytics,2016,5,True
Russia,Data and analytics,2023,116,True
Turkey,Data and analytics,2024,94,True
Belgium,Data and analytics,2021,538,True
Egypt,Data and analytics,2021,2,True
Norway,Data and analytics,2021,320,True
United States,Data and analytics,2019,68007,True
United Arab Emirates,Data and analytics,2020,35,True
United Kingdom,Data and analytics,2016,2263,True
United Kingdom,Data and analytics,2019,1340,True
Kuwait,Data and analytics,2025,7,False
Zimbabwe,Data and analytics,2021,0,True
Peru,Data and analytics,2023,1,True
Kenya,Data and analytics,2018,3,True
Paraguay,Data and analytics,2021,0,True
Thailand,Data and analytics,2020,3,True
Colombia,Data and analytics,2016,1,True
Colombia,Data and analytics,2020,8,True
Greece,Data and analytics,2018,2,True
Ghana,Data and analytics,2021,1,True
Mexico,Data and analytics,2022,76,True
Bahrain,Data and analytics,2025,4,False
Qatar,Data and analytics,2025,0,False
Ireland,Education,2021,402,True
Australia,Education,2015,0,True
Malaysia,Education,2019,0,True
Romania,Education,2022,3,True
Bangladesh,Education,2021,0,True
Saudi Arabia,Education,2021,0,True
Colombia,Education,2023,0,True
Switzerland,Energy and natural resources,2018,0,True
Canada,Energy and natural resources,2023,76,True
Peru,Energy and natural resources,2021,0,True
Japan,Energy and natural resources,2021,1,True
Chile,Energy and natural resources,2015,0,True
Finland,Energy and natural resources,2021,3,True
United Kingdom,Energy and natural resources,2017,54,True
Brazil,Energy and natural resources,2023,1,True
United States,Energy and natural resources,2021,1666,True
United States,Facial Recognition,2021,457,True
South Korea,Facial Recognition,2021,0,True
Israel,Facial Recognition,2015,1,True
Belgium,Facial Recognition,2018,2,True
Tunisia,Finance,2022,0,True
Canada,Finance,2024,95,True
Mexico,Finance,2019,106,True
Bahrain,Finance,2025,4,False
China (mainland),Finance,2022,265,True
Austria,Finance,2019,7,True
Slovenia,Finance,2018,0,True
Poland,Finance,2022,28,True
Singapore,Finance,2016,14,True
Colombia,Finance,2022,6,True
Denmark,Gaming,2019,0,True
Singapore,Gaming,2021,2,True
Switzerland,General purpose,2016,17,True
Greece,General purpose,2015,0,True
Egypt,General purpose,2017,0,True
Belgium,General purpose,2017,121,True
Germany,General purpose,2016,340,True
Slovenia,General purpose,2019,0,True
Slovakia,General purpose,2023,22,True
Netherlands,General purpose,2019,173,True
Philippines,General purpose,2018,3,True
Vietnam,General purpose,2019,7,True
Indonesia,General purpose,2021,131,True
Brazil,General purpose,2016,10,True
Dominican Republic,General purpose,2020,0,True
Dominican Republic,General purpose,2022,0,True
Estonia,General purpose,2024,43,True
Pakistan,General purpose,2018,0,True
Oman,General purpose,2019,0,True
Poland,General purpose,2016,16,True
Mexico,General purpose,2017,6,True
Cyprus,General purpose,2020,7,True
Lebanon,General purpose,2017,1,True
Serbia,Hardware,2023,43,True
South Africa,Hardware,2022,6,True
Slovakia,Hardware,2023,1,True
Canada,Hardware,2015,21,True
Denmark,Hardware,2025,90,False
Japan,Hardware,2021,114,True
Portugal,Hardware,2020,2,True
Pakistan,Healthcare and Life Sciences,2022,2,True
Romania,Healthcare and Life Sciences,2022,1,True
Sweden,Healthcare and Life Sciences,2023,32,True
Canada,Healthcare and Life Sciences,2021,207,True
France,Healthcare and Life Sciences,2020,22,True
United Kingdom,Healthcare and Life Sciences,2018,150,True
Ireland,Information Technology,2020,29,True
Romania,Information Technology,2016,0,True
Ukraine,Information Technology,2020,2,True
Saudi Arabia,Information Technology,2024,1078,True
Japan,Information Technology,2015,6,True
Uruguay,Information Technology,2025,1,False
Russia,Information Technology,2020,1,True
Seychelles,Information Technology,2016,0,True
United States,Information Technology,2019,27624,True
Venezuela,Information Technology,2021,0,True
Latvia,Information Technology,2018,8,True
South Africa,Information Technology,2017,6,True
Bulgaria,Information Technology,2015,30,True
Bulgaria,Information Technology,2023,3,True
Hungary,Information Technology,2018,5,True
Brazil,Lending and Investments,2023,25,True
Spain,Lending and Investments,2020,1,True
United States,Lending and Investments,2019,1311,True
Israel,Manufacturing,2020,36,True
Japan,Manufacturing,2022,9,True
Canada,Media and Entertainment,2019,64,True
Czechia,Media and Entertainment,2021,4,True
Japan,Media and Entertainment,2020,53,True
Vietnam,Media and Entertainment,2020,0,True
Australia,Media and Entertainment,2017,2,True
Portugal,Media and Entertainment,2019,6,True
Portugal,Media and Entertainment,2022,3,True
Cyprus,Media and Entertainment,2019,0,True
Canada,"Military, public safety and government",2017,2,True
Canada,"Military, public safety and government",2025,41,False
India,"Military, public safety and government",2023,0,True
Slovakia,"Military, public safety and government",2020,1,True
Chile,"Mobile, platforms & Internet services",2016,0,True
Saudi Arabia,"Mobile, platforms & Internet services",2015,2,True
Saudi Arabia,"Mobile, platforms & Internet services",2025,127,False
Greece,"Mobile, platforms & Internet services",2017,58,True
Germany,"Mobile, platforms & Internet services",2015,119,True
Netherlands,"Mobile, platforms & Internet services",2023,332,True
Canada,"Mobile, platforms & Internet services",2021,462,True
India,"Mobile, platforms & Internet services",2016,114,True
Romania,"Mobile, platforms & Internet services",2025,1,False
United States,"Mobile, platforms & Internet services",2022,11434,True
Denmark,"Mobile, platforms & Internet services",2019,1,True
Hungary,"Mobile, platforms & Internet services",2018,6,True
Cyprus,"Mobile, platforms & Internet services",2019,0,True
Ireland,"Mobile, platforms & Internet services",2018,15,True
Australia,"Mobile, platforms & Internet services",2017,5,True
Australia,"Mobile, platforms & Internet services",2021,435,True
Spain,NLP,2024,41,True
Hungary,NLP,2019,2,True
Portugal,NLP,2016,1,True
Greece,NLP,2019,3,True
Israel,NLP,2018,45,True
Canada,NLP,2017,16,True
Singapore,NLP,2021,8,True
Ireland,Navigation and mapping,2023,1,True
Poland,Navigation and mapping,2024,5,True
Estonia,Navigation and mapping,2020,0,True
South Africa,Other,2018,0,True
Poland,Other,2023,4,True
Italy,Other,2022,1,True
Uruguay,Other,2021,100,True
Switzerland,Other,2015,0,True
Bulgaria,Other,2021,0,True
Japan,Other,2023,76,True
Egypt,Other,2025,3,False
Chile,Other,2018,6,True
Oman,Other,2025,1,False
Uzbekistan,Other,2024,0,True
Armenia,Other,2024,0,True
Singapore,Privacy and Security,2021,43,True
Lithuania,Privacy and Security,2024,0,True
Germany,Privacy and Security,2020,352,True
Japan,Privacy and Security,2016,30,True
Switzerland,Privacy and Security,2019,152,True
Argentina,Privacy and Security,2021,2,True
China (mainland),Privacy and Security,2025,461,False
Estonia,Privacy and Security,2025,14,False
Mexico,Professional services,2018,2,True
Belgium,Professional services,2021,197,True
Japan,Professional services,2019,66,True
Australia,Professional services,2019,46,True
Australia,Professional services,2023,116,True
Ireland,Professional services,2015,0,True
Vietnam,Professional services,2021,3,True
El Salvador,Professional services,2021,0,True
Australia,Real estate,2016,16,True
Greece,Real estate,2024,0,True
South Korea,Real estate,2022,37,True
Ireland,Real estate,2017,4,True
Egypt,Real estate,2024,3,True
France,Real estate,2022,19,True
Japan,Real estate,2024,8,True
Saudi Arabia,Real estate,2025,0,False
Estonia,Real estate,2018,1,True
Estonia,Real estate,2023,3,True
Portugal,Real estate,2021,6,True
Chile,Robotics,2021,0,True
Poland,Robotics,2019,1,True
Poland,Robotics,2023,2,True
Israel,Robotics,2025,1,False
Thailand,Robotics,2021,1,True
South Korea,Robotics,2019,5,True
Ireland,Robotics,2018,3,True
Kazakhstan,"Sales, retail, commerce, marketing",2020,0,True
Kenya,"Sales, retail, commerce, marketing",2021,1,True
Greece,"Sales, retail, commerce, marketing",2024,0,True
Italy,"Sales, retail, commerce, marketing",2025,4,False
Hungary,"Sales, retail, commerce, marketing",2016,0,True
New Zealand,"Sales, retail, commerce, marketing",2021,3,True
Colombia,"Sales, retail, commerce, marketing",2021,0,True
Cyprus,"Sales, retail, commerce, marketing",2021,17,True
Egypt,"Sales, retail, commerce, marketing",2019,0,True
Switzerland,"Sales, retail, commerce, marketing",2022,412,True
Austria,"Sales, retail, commerce, marketing",2017,2,True
Romania,"Sales, retail, commerce, marketing",2019,0,True
Bulgaria,"Sales, retail, commerce, marketing",2019,1,True
Netherlands,"Sales, retail, commerce, marketing",2019,9,True
Luxembourg,"Sales, retail, commerce, marketing",2016,0,True
Germany,"Sales, retail, commerce, marketing",2018,634,True
Germany,"Sales, retail, commerce, marketing",2020,636,True
Chile,"Sales, retail, commerce, marketing",2024,0,True
Australia,"Sales, retail, commerce, marketing",2019,3,True
France,Semiconductor,2021,102,True
Germany,Semiconductor,2021,4,True
Japan,Semiconductor,2021,5,True
Taiwan,Semiconductor,2023,14,True
United Kingdom,Simulation,2020,0,True
Slovenia,Simulation,2017,0,True
Australia,Software,2018,49,True
Norway,Software,2016,13,True
Estonia,Software,2017,1,True
Italy,Software,2022,51,True
Japan,Software,2018,314,True
Seychelles,Software,2015,0,True
Botswana,Software,2024,1,True
Ghana,Software,2018,1,True
Bulgaria,Software,2016,0,True
Mongolia,Software,2018,0,True
El Salvador,Software,2020,0,True
Pakistan,Software,2018,0,True
United Arab Emirates,Software,2023,288,True
Czechia,Software,2023,79,True
United Kingdom,Speech Recognition,2025,1,False
India,Speech Recognition,2022,41,True
Denmark,Sports,2021,0,True
Australia,Sports,2015,0,True
Spain,Sports,2018,0,True
Japan,Sports,2025,1,False
India,Sports,2022,5,True
Slovakia,Telecommunications,2022,21,True
United Arab Emirates,Telecommunications,2016,0,True
United Kingdom,Telecommunications,2019,31,True
France,Transportation,2017,110,True
France,Transportation,2024,79,True
Italy,Transportation,2022,1,True
China (mainland),Transportation,2022,852,True
United Arab Emirates,Transportation,2025,42,False
Finland,Transportation,2023,2,True
Denmark,Transportation,2023,91,True
Armenia,Agriculture,2024,0,True
Zambia,Agriculture,2023,0,True
Estonia,Agriculture,2023,2,True
Germany,Agriculture,2017,2,True
Switzerland,Agriculture,2025,35,False
Russia,All,2018,48,True
Luxembourg,All,2025,6,False
Georgia,All,2025,2,False
Mexico,All,2015,4,True
Chile,All,2022,80,True
Belgium,All,2019,198,True
Saudi Arabia,All,2023,2544,True
Bangladesh,All,2024,4,True
Romania,All,2017,0,True
Greece,All,2023,443,True
Armenia,All,2021,7,True
Mongolia,All,2024,0,True
Nigeria,All,2016,50,True
South Korea,All,2017,144,True
South Korea,All,2020,1115,True
Australia,Biotechnology,2021,18,True
Argentina,Biotechnology,2022,1,True
Hungary,Biotechnology,2023,6,True
Taiwan,Biotechnology,2018,0,True
Norway,Biotechnology,2017,0,True
Spain,Community and Lifestyle,2022,25,True
Chile,Community and Lifestyle,2022,8,True
Denmark,Community and Lifestyle,2024,0,True
South Korea,Community and Lifestyle,2024,5,True
China (mainland),Community and Lifestyle,2016,29,True
Switzerland,Community and Lifestyle,2024,139,True
Ireland,Community and Lifestyle,2020,2,True
Chile,Computer Vision,2019,0,True
Indonesia,Computer Vision,2021,0,True
Estonia,Computer Vision,2023,1,True
Malaysia,Computer Vision,2023,14,True
Singapore,Computer Vision,2020,3,True
France,Computer Vision,2015,1,True
Ireland,Computer Vision,2016,0,True
Denmark,Computer Vision,2023,2,True
India,Computer Vision,2019,7,True
United States,Computer Vision,2024,1515,True
Spain,Consumer goods,2021,2,True
Italy,Consumer goods,2017,1,True
Netherlands,Consumer goods,2023,5,True
Denmark,Consumer goods,2018,1,True
Mexico,Consumer goods,2016,0,True
Mexico,Consumer goods,2018,2,True
United Kingdom,Consumer goods,2018,98,True
United States,Consumer goods,2019,7501,True
Russia,Consumer goods,2024,0,True
Czechia,Consumer goods,2016,1,True
Germany,Consumer goods,2021,406,True
Canada,Cyber Security,2023,1,True
Germany,Cyber Security,2019,5,True
Turkey,Cyber Security,2023,0,True
Turkey,Cyber Security,2024,15,True
United Kingdom,Cyber Security,2021,105,True
China (mainland),Cyber Security,2015,1,True
Italy,Cyber Security,2020,84,True
Argentina,Data and analytics,2016,1,True
Czechia,Data and analytics,2021,53,True
Turkey,Data and analytics,2021,82,True
Turkey,Data and analytics,2025,32,False
Australia,Data and analytics,2020,225,True
Luxembourg,Data and analytics,2015,0,True
Netherlands,Data and analytics,2020,224,True
Georgia,Data and analytics,2024,0,True
Bangladesh,Data and analytics,2018,0,True
Kenya,Data and analytics,2021,13,True
Taiwan,Data and analytics,2019,184,True
South Africa,Data and analytics,2021,38,True
Italy,Data and analytics,2020,276,True
Singapore,Data and analytics,2017,176,True
Bulgaria,Education,2022,0,True
Spain,Education,2025,2002,False
Argentina,Education,2020,0,True
Lithuania,Education,2024,0,True
Turkey,Education,2023,0,True
South Korea,Education,2019,24,True
Romania,Education,2020,1,True
Chile,Education,2018,5,True
Bangladesh,Education,2023,1,True
United States,Education,2015,202,True
United States,Education,2018,474,True
Austria,Energy and natural resources,2018,2,True
Ireland,Energy and natural resources,2019,1,True
Portugal,Energy and natural resources,2018,1,True
Russia,Energy and natural resources,2017,2,True
South Korea,Energy and natural resources,2020,12,True
Kenya,Energy and natural resources,2025,0,False
New Zealand,Energy and natural resources,2024,0,True
Germany,Energy and natural resources,2020,164,True
Luxembourg,Facial Recognition,2020,0,True
Chile,Finance,2020,0,True
United Arab Emirates,Finance,2022,134,True
United Arab Emirates,Finance,2025,694,False
Croatia,Finance,2020,0,True
Seychelles,Finance,2022,10,True
South Africa,Finance,2024,25,True
Belgium,Finance,2015,0,True
Belgium,Finance,2023,3,True
Saudi Arabia,Finance,2017,10,True
Cyprus,Finance,2019,2,True
Sweden,Finance,2021,2392,True
Sweden,Finance,2023,12,True
United Kingdom,Finance,2019,227,True
United Kingdom,Finance,2023,758,True
Mauritius,Finance,2020,2,True
Slovenia,Finance,2015,0,True
United States,Finance,2015,4658,True
United States,Finance,2019,6228,True
Denmark,Gaming,2024,0,True
Hungary,Gaming,2016,0,True
Switzerland,Gaming,2022,0,True
Canada,Gaming,2017,0,True
Chile,Gaming,2017,1,True
Saint Kitts and Nevis,Gaming,2021,0,True
United Kingdom,Gaming,2024,11,True
Austria,General purpose,2021,182,True
Singapore,General purpose,2016,90,True
United Arab Emirates,General purpose,2021,819,True
Armenia,General purpose,2020,2,True
Indonesia,General purpose,2019,13,True
Luxembourg,General purpose,2023,1,True
Sweden,General purpose,2019,51,True
Sweden,General purpose,2024,111,True
United States,General purpose,2015,8353,True
United States,General purpose,2025,159644,False
Norway,General purpose,2025,141,False
Thailand,General purpose,2020,3,True
Ireland,Hardware,2018,51,True
Romania,Hardware,2025,3,False
Israel,Hardware,2017,141,True
Saint Kitts and Nevis,Hardware,2021,0,True
Denmark,Healthcare and Life Sciences,2016,0,True
United Arab Emirates,Healthcare and Life Sciences,2024,4,True
Japan,Healthcare and Life Sciences,2020,65,True
Ireland,Healthcare and Life Sciences,2025,33,False
Colombia,Healthcare and Life Sciences,2020,0,True
Taiwan,Healthcare and Life Sciences,2021,54,True
China (mainland),Healthcare and Life Sciences,2015,16,True
China (mainland),Healthcare and Life Sciences,2024,236,True
Canada,Healthcare and Life Sciences,2015,21,True
Canada,Healthcare and Life Sciences,2020,75,True
France,Healthcare and Life Sciences,2016,17,True
Chile,Healthcare and Life Sciences,2015,0,True
Argentina,Healthcare and Life Sciences,2024,3,True
Ireland,Information Technology,2024,61,True
Ireland,Information Technology,2025,93,False
Israel,Information Technology,2015,120,True
Mongolia,Information Technology,2022,0,True
Malaysia,Information Technology,2023,20,True
Mexico,Information Technology,2025,3,False
Netherlands,Information Technology,2017,102,True
Portugal,Information Technology,2022,14,True
India,Information Technology,2023,2894,True
Japan,Information Technology,2017,146,True
Uruguay,Information Technology,2024,1,True
Singapore,Information Technology,2019,84,True
Austria,Information Technology,2024,503,True
Mauritius,Information Technology,2021,1,True
Switzerland,Information Technology,2021,296,True
South Africa,Information Technology,2024,58,True
Guatemala,Lending and Investments,2019,5,True
Ukraine,Lending and Investments,2022,0,True
Finland,Lending and Investments,2015,87,True
Germany,Manufacturing,2019,25,True
Germany,Manufacturing,2024,702,True
France,Manufacturing,2017,14,True
Estonia,Manufacturing,2023,2,True
Denmark,Manufacturing,2016,0,True
Denmark,Manufacturing,2022,51,True
Nigeria,Manufacturing,2024,3,True
India,Media and Entertainment,2021,20,True
China (mainland),Media and Entertainment,2016,152,True
Belgium,Media and Entertainment,2020,6,True
South Korea,Media and Entertainment,2018,22,True
Singapore,Media and Entertainment,2018,153,True
Singapore,Media and Entertainment,2023,28,True
Portugal,Media and Entertainment,2018,0,True
Switzerland,Media and Entertainment,2019,153,True
Spain,"Military, public safety and government",2015,1,True
Israel,"Military, public safety and government",2021,10,True
United Kingdom,"Military, public safety and government",2019,8,True
Chile,"Mobile, platforms & Internet services",2022,1,True
Brazil,"Mobile, platforms & Internet services",2017,68,True
Taiwan,"Mobile, platforms & Internet services",2018,3,True
Taiwan,"Mobile, platforms & Internet services",2024,38,True
Kenya,"Mobile, platforms & Internet services",2025,4,False
Bulgaria,"Mobile, platforms & Internet services",2023,3,True
Israel,"Mobile, platforms & Internet services",2018,248,True
United States,"Mobile, platforms & Internet services",2017,5230,True
United States,"Mobile, platforms & Internet services",2023,9970,True
Sweden,"Mobile, platforms & Internet services",2025,1110,False
Japan,"Mobile, platforms & Internet services",2020,197,True
Mexico,"Mobile, platforms & Internet services",2020,1,True
Mexico,"Mobile, platforms & Internet services",2025,4,False
Norway,"Mobile, platforms & Internet services",2023,31,True
Vietnam,NLP,2025,2,False
Austria,NLP,2015,1,True
Austria,NLP,2023,0,True
Cyprus,NLP,2020,20,True
Italy,NLP,2022,2,True
Ireland,Navigation and mapping,2018,0,True
Ireland,Navigation and mapping,2025,34,False
China (mainland),Navigation and mapping,2024,21,True
South Korea,Navigation and mapping,2019,2,True
United States,Navigation and mapping,2017,130,True
United States,Navigation and mapping,2024,1452,True
Japan,Navigation and mapping,2019,0,True
Belgium,Navigation and mapping,2022,81,True
Germany,Other,2020,207,True
Switzerland,Other,2024,22,True
Iran,Other,2020,0,True
Panama,Other,2021,1,True
Australia,Other,2024,9,True
Seychelles,Privacy and Security,2016,0,True
France,Privacy and Security,2021,119,True
Belgium,Privacy and Security,2025,4,False
India,Privacy and Security,2020,2,True
Vietnam,Privacy and Security,2023,1,True
Ireland,Privacy and Security,2020,2,True
Chile,Privacy and Security,2023,0,True
Spain,Privacy and Security,2016,7,True
Netherlands,Professional services,2017,70,True
Switzerland,Professional services,2015,0,True
Switzerland,Professional services,2019,2,True
Indonesia,Professional services,2019,2,True
New Zealand,Professional services,2024,0,True
South Korea,Professional services,2019,16,True
Sweden,Professional services,2018,2,True
Germany,Professional services,2016,180,True
Saudi Arabia,Professional services,2018,15,True
Saudi Arabia,Professional services,2025,4,False
China (mainland),Professional services,2024,138,True
Ireland,Real estate,2021,0,True
France,Real estate,2025,24,False
Germany,Real estate,2023,150,True
Germany,Real estate,2024,70,True
India,Real estate,2025,25,False
Portugal,Real estate,2024,6,True
Brazil,Robotics,2022,0,True
Israel,Robotics,2018,70,True
Netherlands,Robotics,2017,7,True
United Kingdom,Robotics,2021,18,True
India,Robotics,2018,2,True
Malaysia,Robotics,2017,0,True
Finland,Robotics,2021,36,True
Iran,"Sales, retail, commerce, marketing",2018,0,True
Italy,"Sales, retail, commerce, marketing",2024,3,True
United Kingdom,"Sales, retail, commerce, marketing",2025,453,False
Taiwan,"Sales, retail, commerce, marketing",2021,25,True
Norway,"Sales, retail, commerce, marketing",2025,2,False
Russia,"Sales, retail, commerce, marketing",2016,1,True
Germany,"Sales, retail, commerce, marketing",2015,681,True
Poland,"Sales, retail, commerce, marketing",2021,42,True
India,"Sales, retail, commerce, marketing",2021,160,True
Chile,"Sales, retail, commerce, marketing",2016,1,True
South Africa,"Sales, retail, commerce, marketing",2020,0,True
Japan,"Sales, retail, commerce, marketing",2017,36,True
Netherlands,Semiconductor,2021,3,True
Canada,Semiconductor,2019,23,True
United States,Semiconductor,2016,414,True
Malaysia,Software,2024,25,True
Saudi Arabia,Software,2021,282,True
Luxembourg,Software,2017,1,True
Brazil,Software,2022,1461,True
Egypt,Software,2018,0,True
South Africa,Software,2018,20,True
Israel,Software,2024,5137,True
Slovakia,Software,2020,10,True
Indonesia,Software,2024,24,True
Singapore,Speech Recognition,2019,1,True
India,Speech Recognition,2017,1,True
Netherlands,Speech Recognition,2019,1,True
Germany,Speech Recognition,2021,1,True
Denmark,Speech Recognition,2020,2,True
Italy,Sports,2025,0,False
Belgium,Sports,2021,0,True
Poland,Telecommunications,2020,1,True
Portugal,Telecommunications,2023,0,True
India,Telecommunications,2017,3,True
United Arab Emirates,Telecommunications,2017,1,True
United Kingdom,Telecommunications,2023,75,True
Japan,Telecommunications,2025,2,False
Japan,Transportation,2022,57,True
Chile,Transportation,2018,1,True
Croatia,Transportation,2023,195,True
United States,Transportation,2015,4056,True
United States,Transportation,2021,12180,True
United States,Transportation,2023,9868,True
United States,Transportation,2025,6201,False
Slovakia,Transportation,2020,1,True
United Kingdom,Transportation,2015,22,True
Brazil,Transportation,2024,1,True
France,Agriculture,2015,1,True
France,Agriculture,2025,1,False
Brazil,Agriculture,2016,2,True
Brazil,Agriculture,2019,3,True
Netherlands,Agriculture,2021,2,True
Japan,Agriculture,2021,3,True
Peru,All,2021,2,True
Malaysia,All,2024,44,True
Luxembourg,All,2020,13,True
Senegal,All,2021,0,True
Brazil,All,2019,419,True
Uruguay,All,2022,6,True
Bulgaria,All,2025,39,False
Philippines,All,2025,150,False
Greece,All,2021,64,True
Croatia,All,2025,4,False
Iran,All,2020,0,True
Argentina,All,2015,0,True
Botswana,All,2016,0,True
Latvia,All,2022,1,True
Israel,All,2017,598,True
Ireland,All,2019,167,True
United Kingdom,Biotechnology,2020,68,True
France,Biotechnology,2023,124,True
Denmark,Biotechnology,2025,1,False
Argentina,Biotechnology,2017,4,True
New Zealand,Biotechnology,2015,2,True
Sweden,Biotechnology,2025,4,False
Netherlands,Biotechnology,2015,0,True
Italy,Biotechnology,2016,4,True
Italy,Biotechnology,2023,3,True
Switzerland,Community and Lifestyle,2021,6,True
Ireland,Community and Lifestyle,2016,5,True
Brazil,Community and Lifestyle,2021,1,True
United Arab Emirates,Community and Lifestyle,2018,5,True
Tunisia,Community and Lifestyle,2021,0,True
Romania,Community and Lifestyle,2024,1,True
Egypt,Community and Lifestyle,2023,1,True
Estonia,Community and Lifestyle,2020,0,True
Mexico,Computer Vision,2025,55,False
South Africa,Computer Vision,2024,53,True
Greece,Computer Vision,2023,220,True
Spain,Computer Vision,2017,1,True
Sri Lanka,Computer Vision,2024,0,True
Saudi Arabia,Computer Vision,2024,4,True
Netherlands,Computer Vision,2021,101,True
Norway,Consumer goods,2024,4,True
Spain,Consumer goods,2015,3,True
Italy,Consumer goods,2025,0,False
Taiwan,Consumer goods,2015,0,True
Senegal,Consumer goods,2024,5,True
Canada,Consumer goods,2017,23,True
Israel,Consumer goods,2021,332,True
Saudi Arabia,Consumer goods,2019,2,True
Israel,Cyber Security,2015,6,True
Israel,Cyber Security,2021,162,True
Spain,Cyber Security,2018,2,True
Uganda,Data and analytics,2022,0,True
Belgium,Data and analytics,2025,212,False
Ukraine,Data and analytics,2021,21,True
Egypt,Data and analytics,2020,1,True
Netherlands,Data and analytics,2022,1448,True
Portugal,Data and analytics,2025,202,False
Kuwait,Data and analytics,2023,4,True
France,Data and analytics,2015,167,True
Kenya,Data and analytics,2024,6,True
Thailand,Data and analytics,2022,13,True
India,Data and analytics,2025,2036,False
Cyprus,Data and analytics,2025,51,False
Greece,Data and analytics,2019,8,True
Hungary,Data and analytics,2019,6,True
Singapore,Data and analytics,2019,1729,True
Singapore,Data and analytics,2020,588,True
Qatar,Data and analytics,2024,0,True
Denmark,Education,2017,1,True
South Korea,Education,2021,221,True
South Korea,Education,2023,100,True
United States,Education,2017,444,True
Estonia,Energy and natural resources,2018,1,True
Sweden,Energy and natural resources,2017,4,True
Switzerland,Energy and natural resources,2024,13,True
Saudi Arabia,Energy and natural resources,2025,6,False
Canada,Energy and natural resources,2024,19,True
South Korea,Energy and natural resources,2023,12,True
Spain,Energy and natural resources,2017,1,True
Lithuania,Energy and natural resources,2024,0,True
Mexico,Energy and natural resources,2019,0,True
Spain,Finance,2016,1,True
France,Finance,2015,0,True
Israel,Finance,2015,12,True
Israel,Finance,2022,189,True
Ukraine,Finance,2022,0,True
China (mainland),Finance,2016,145,True
Sri Lanka,Finance,2024,0,True
Russia,Finance,2018,4,True
Hungary,Finance,2021,0,True
Iceland,Finance,2020,2,True
Malaysia,Finance,2022,1,True
Turkey,Finance,2016,3,True
Italy,Finance,2017,0,True
Canada,Gaming,2016,61,True
India,Gaming,2023,3,True
United States,Gaming,2015,73,True
Brazil,Gaming,2022,1,True
Finland,Gaming,2015,0,True
Malta,Gaming,2017,1,True
Serbia,General purpose,2020,0,True
Finland,General purpose,2018,11,True
Singapore,General purpose,2020,647,True
Germany,General purpose,2018,1072,True
France,General purpose,2021,1780,True
Ghana,General purpose,2021,1,True
Saudi Arabia,General purpose,2019,13,True
Saudi Arabia,General purpose,2025,1552,False
Chile,General purpose,2017,3,True
United Arab Emirates,General purpose,2019,39,True
Slovakia,General purpose,2022,24,True
Latvia,General purpose,2021,1,True
Denmark,General purpose,2016,9,True
Mongolia,General purpose,2022,0,True
Brazil,General purpose,2018,89,True
Brazil,General purpose,2021,296,True
United States,General purpose,2020,34869,True
Bangladesh,General purpose,2019,0,True
Russia,General purpose,2022,1,True
Bulgaria,General purpose,2021,1,True
Poland,General purpose,2017,19,True
Israel,General purpose,2021,3028,True
Zambia,Hardware,2023,0,True
Malaysia,Hardware,2019,15,True
Ukraine,Hardware,2021,1,True
Qatar,Hardware,2023,0,True
Belgium,Hardware,2015,84,True
Qatar,Healthcare and Life Sciences,2024,0,True
Kenya,Healthcare and Life Sciences,2018,20,True
Portugal,Healthcare and Life Sciences,2019,3,True
Austria,Healthcare and Life Sciences,2021,63,True
South Korea,Healthcare and Life Sciences,2016,49,True
Australia,Healthcare and Life Sciences,2022,55,True
Taiwan,Healthcare and Life Sciences,2018,20,True
Taiwan,Healthcare and Life Sciences,2019,38,True
Vietnam,Healthcare and Life Sciences,2021,0,True
Mexico,Healthcare and Life Sciences,2017,1,True
Bangladesh,Healthcare and Life Sciences,2020,0,True
China (mainland),Healthcare and Life Sciences,2018,519,True
New Zealand,Healthcare and Life Sciences,2015,2,True
Belgium,Information Technology,2015,99,True
Spain,Information Technology,2020,22,True
New Zealand,Information Technology,2024,3,True
Mongolia,Information Technology,2024,0,True
Mexico,Information Technology,2015,2,True
Philippines,Information Technology,2015,2,True
India,Information Technology,2017,33,True
Turkey,Information Technology,2022,29,True
Austria,Information Technology,2015,1,True
Austria,Information Technology,2025,117,False
Canada,Information Technology,2016,80,True
Netherlands,Lending and Investments,2015,0,True
Ireland,Lending and Investments,2017,41,True
Czechia,Lending and Investments,2016,1,True
Singapore,Lending and Investments,2016,1,True
Mexico,Lending and Investments,2017,0,True
Japan,Manufacturing,2019,95,True
United Kingdom,Manufacturing,2021,20,True
Norway,Manufacturing,2018,5,True
Bosnia and Herzegovina,Manufacturing,2024,0,True
Denmark,Manufacturing,2023,1,True
Ireland,Manufacturing,2021,7,True
Finland,Manufacturing,2023,2,True
Denmark,Media and Entertainment,2022,1,True
China (mainland),Media and Entertainment,2023,200,True
Sri Lanka,Media and Entertainment,2019,1,True
Japan,Media and Entertainment,2019,73,True
Hungary,Media and Entertainment,2017,0,True
Singapore,Media and Entertainment,2024,125,True
Panama,Media and Entertainment,2024,0,True
France,"Military, public safety and government",2018,1,True
Poland,"Military, public safety and government",2024,1,True
India,"Military, public safety and government",2022,37,True
